Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Introducción al Turismo;32;3;1
2;Programación de Circuitos;64;8;1
3;Coordinación, Dinámica de Grupos y Recreación;64;8;1
4;Teoría y Técnica de Guiado;64;8;1
5;Taller de Expresión y Cuidados de la voz ;32;4;1
6;Regulación Jurídica de la Actividad Turística;32;3;1
7;Geografía turística Mundial;32;3;2
8;Destinos y Patrimonio Turístico Mundiales;32;3;2
9;Práctica Guiado I;64;8;2
10;Inglés I;32;2;2
11;Portugués I;32;2;2
12;Primeros Auxilios. Toxicología;32;4;2
13;Geografía Turística Mercosur;32;3;3
14;Destinos y Patrimonio Turístico de Mercosur;32;3;3
15;Practica de Guiado II;64;8;3
16;Inglés II;48;3;3
17;Portugués II;48;3;3
18;"Informática aplicada -Google Earth PRO
Informática Sistema Integrado GUIDEMAPS";32;3;3
19;Trabajo Social Comunitario II;32;2;3
20;Geografía turística Argentina ;64;6;4
21;Destinos y Patrimonio Turístico de Argentina;64;6;4
22;Practica de Guiado III;64;8;4
23;Inglés III ;48;3;4
24;Portugués III;48;3;4
25;Geografía turística AMBA;64;6;5
26;Destinos y Patrimonio Turístico de AMBA;64;6;5
27;Servicios turísticos, Alojamiento y Gastronomía;32;4;5
28;Practica de Guiado IV;64;8;5
29;Turismo Accesible;32;3;5
30;Ingles IV;32;2;5
31;Servicios Turísticos Transporte y Agencias de Viajes;32;4;6
32;Geografía turística CABA;64;6;6
33;Destinos y Patrimonio Turístico de CABA;64;6;6
34;Taller Técnicas de Interpretación del Patrimonio;32;8;6
35;Turismo alternativo;32;3;6
36;Portugués IV;32;2;6
37;Trabajo Social Comunitario III;32;2;6
38;Actividades académicas afines y/o prácticas pre profesionales;;9;6
