Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Introducción a la Biología;64;6;1
2;Introducción al Medio Físico;64;6;1
3;Idioma I ;32;2;1
4;Matemática;64;6;1
5;Química Inorgánica;64;6;1
6;Informática I;32;2;1
7;Biología General;64;6;2
8;Ambiente y Sociedad;64;6;2
9;Bases Físicas del Ambiente;64;6;2
10;Trabajo Social Comunitario I;32;2;2
11;Legislación Ambiental Argentina;64;6;2
12;Ecología General;64;6;3
13;Fundamentos de Geología y Geomorfología;64;6;3
14;Estadística;48;5;3
15;Diversidad Vegetal;64;8;3
16;Diversidad Animal;64;8;4
17;Edafología;64;6;4
18;Teledetección y SIG;64;6;4
19;Trabajo Social Comunitario II;32;2;4
20;Biología de la Conservación ;64;6;5
21;Introducción a la Comunicación;64;6;5
22;Biodiversidad y Biogeografía Argentina;32;3;5
23;Manejo de Vida Silvestre ;64;8;5
24;Manejo de Emergencias y RCP;32;3;5
;Optativas, electivas y/o actividades académicas afines;64;12;5
25;Áreas Naturales de la Argentina;32;3;6
26;Técnicas de Muestreo;32;6;6
27;Manejo de Recursos Naturales;64;6;6
28;Trabajo Social Comunitario III;32;2;6
;Optativas, electivas y/o actividades académicas afines;64;12;6
29;Práctica Pre-profesional Supervisada;64;12;6
32;Metodología de la Investigación;64;6;5
33;Geografía turística CABA;32;3;6
34;Destinos y Patrimonio Turístico de CABA;32;3;6
35;Organización y gestión de Empresas de Viajes y Turismo;64;6;6
36;Gestión pública del Turismo;64;6;6
;Optativas, electivas y/o actividades académicas afines;256;18;6
37;Gestión de la Calidad en Turismo;64;6;7
38;Marketing turístico;64;6;7
39;Elaboración y evaluación de proyectos turísticos ambientales;64;8;7
;Optativas, electivas y/o actividades académicas afines;160;18;7
40;Circuitos e Impacto Ambiental;64;6;8
41;Diseño de productos potenciales e innovadores ;64;6;8
;Optativas, electivas y/o actividades académicas afines;256;18;8
42;Trabajo Social Comunitario IV;32;2;8
43;Proyecto Final o Tesina;64;6;8
