Código;Asignatura;Carga Horaria;Cuatrimestre
1;Física;4;1
2;Taller de Proyecto Arquitectónico I;128;1
3;Taller de Matemática;64;1
4;Práctica de Obra I;32;1
5;Taller de Informática;32;1
6;Sistemas de Representación I;64;1
7;Taller de Proyecto Arquitectónico II;128;2
8;Fundamentos de la Arquitectura Contemporánea;64;2
9;Tecnología de la Construcción I;64;2
10;Sistemas de Representación II;64;2
11;Taller de Idioma Inglés;32;2
12;Trabajo Social Comunitario I;32;2
13;Taller de Proyecto Arquitectónico III;128;3
14;Matemática Aplicada I;64;3
15;Sistemas Estructurales I;64;3
16;Práctica de Obra II;32;3
17;Morfología Arquitectónica I;64;3
18;Taller de Idioma Inglés II;32;3
19;Historia I;64;4
20;Taller de Proyecto Arquitectónico IV;128;4
21;Tecnología de la Construcción II;64;4
22;Sistemas Estructurales II;64;4
23;Matemática Aplicada II;32;4
24;Representación Arquitectónica - Sistemas Digitales;32;4
25;Trabajo Social Comunitario II;32;4
26;Taller de Proyecto Arquitectónico V;128;5
27;Tecnología de la Construcción III;64;5
28;Sistemas Estructurales III;64;5
29;Práctica de Obra II;32;5
30;Morfología Arquitectónica II;64;5
31;Historia II;64;6
32;Taller de Proyecto Arquitectónico VI;128;6
33;Planificación Urbana y Territorial I;64;6
34;Tecnología de la Construcción IV;64;6
35;Sistemas Estructurales IV;64;6
36;Trabajo Social Comunitario III;32;6
37;Taller de Proyecto Arquitectónico VI;64;7
38;Planificación Urbana y Territorial II;128;7
39;Historia III;64;7
40;Tecnología de la Construcción V;64;7
41;Morfología Urbana;64;7
42;Historia IV;32;8
43;Taller de Proyecto Arquitectónico VIII;128;8
44;Tecnología de la Construcción VI;64;8
45;Sistemas Estructurales V;64;8
46;Práctica de Obra IV;32;8
47;Trabajo Social Comunitario IV;32;8
48;Taller de Investigación proyectual;64;9
49;Práctica Profesional Supervisada I;64;9
50;Producción y Gestión I - Organización de Obras;32;9
51;Producción y Gestión II - Seguridad, Riesgo e Higiene en la Construcción;32;9
52;Aspectos Éticos y Legales del Ejercicio Profesional I;32;9
53;Teoría de la Arquitectura;64;9
;Materia Optativa;32;9
;Materia Optativa;32;9
54;Taller de Proyecto Urbano;64;10
;Materia Optativa;64;10
55;Gestión ambiental;64;10
56;Práctica Profesional Supervisada I;32;10
57;Conceptos Fundamentales del patrimonio arquitectónico y urbano;32;10
58;Producción y Gestión III- Economía Social;32;10
59;Aspectos Éticos y Legales del Ejercicio Profesional II;32;10
60;Trabajo Final de Carrera;264;11
