Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Taller de diseño de tesis I;96;;1
2;Morfología estructural orientada a materiales;64;;1
3;Tecnología, procesos y materiales III;48;;1
4;Trabajo social comunitario *;32;;1
;Optativas;112;;1
5;Taller de diseño de tesis II;96;;2
6;Diseño sustentable avanzado;64;;2
7;Patentes, propiedad industrial y propiedad intelectual;32;;2
8;Trabajo Social Comunitario *;32;;2
9;Prácticas pre – profesionales supervisadas;100;;2
;Tesis de grado;130;;2
;Optativas;226;;2
