Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Introducción al Diseño;96;9;1
2;Morfología I;64;6;1
3;Historia del Arte y las Vanguardias del Siglo XX;48;4;1
4;Elementos de Matemática, Física y Química;48;4;1
5;Informática;32;2;1
6;Pensamiento Proyectual I;96;9;2
7;Morfología II ;64;6;2
8;Tecnología, Procesos y Materiales I;48;5;2
9;Historia del Diseño;48;5;2
10;Trabajo Social Comunitario I;32;2;2
11;Taller de Diseño Industrial I;96;9;3
12;Morfología III;48;5;3
13;Tecnología, Procesos y Materiales II;48;6;3
14;Maquetería y Prototipeado;48;4;3
15;Teoría de la Técnica;32;3;3
16;Idioma I;32;2;3
17;Taller de Diseño Industrial II;96;9;4
18;Morfología IV;48;6;4
19;Tecnología, Procesos y Materiales III;48;6;4
20;Semiótica;32;3;4
21;Trabajo Social Comunitario II;32;2;4
;Optativas;64;6;4
22;Taller de Diseño Industrial III;96;9;5
23;Metodología de la Investigación Proyectual;48;4;5
24;Morfología Estructural Orientada a Materiales;48;4;5
25;Ingeniería de Materiales;48;4;5
26;Economía;32;3;5
27;Idioma II;32;2;5
28;Taller de Tesis de Diseño I ;64;6;6
29;Ergonomía;48;4;6
30;Técnicas de Producción;48;4;6
;Optativas;64;6;6
31;Trabajo Social Comunitario III;32;2;6
32;Prácticas Pre-Profesionales Supervisadas I;64;6;6
33;Taller de Tesis de Diseño II;64;6;7
34;Heurística;48;4;7
35;Trabajo Social Comunitario IV;32;3;7
;Optativas;144;14;7
36;Taller de Tesis de Diseño III;48;4;8
37;Prácticas Pre-Profesionales Supervisadas II ;100;10;8
38;Tesis de Grado;130;10;8
;Optativas;258;22;8
