Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Pensamiento Proyectual I;64;6;1
2;Sistemas de Representación I ;64;5;1
3;Tipografía I;48;4;1
4;Historia del Diseño;48;5;1
5;Física y Química Aplicada;48;4;1
6;Taller de Informática;32;2;1
7;Comunicación;32;3;2
8;Pensamiento Proyectual II;64;6;2
9;Sistemas de Representación II;64;6;2
10;Tipografía II;48;4;2
11;Morfología I ;64;5;2
12;Idioma Nivel 1;32;2;2
13;Trabajo Social Comunitario I;32;2;2
14;Diseño de Marcas y Envases I;64;6;3
15;Morfología II;64;6;3
16;Economía;32;3;3
17;Ingeniería de los Materiales;64;5;3
18;Ingeniería de Productos a Envasar;32;3;3
19;Idioma II;32;2;3
20;Sistemas de Representación III;48;4;4
21;Sociología de la Cultura;32;3;4
22;Diseño de Marcas y Envases II;64;6;4
23;Morfología III;48;6;4
24;Técnicas de Producción I;48;4;4
25;Tecnología en Procesos y Materiales I;48;6;4
26;Trabajo Social Comunitario II;32;2;4
27;Diseño de Marcas y Envases III;64;6;5
28;Diseño Sustentable;48;4;5
29;Tecnología de Procesos y Materiales II;48;6;5
30;Técnicas de Producción II;48;4;5
31;Ergonomía;64;6;5
32;Metodología de la Investigación ;48;3;5
;Optativas, Electivas y/o Actividades Académicas Afines;32;5;5
33;Heurística;48;4;6
34;Tecnología para la Innovación;32;3;6
35;Diseño de Marcas y Envases IV;48;6;6
36;Laboratorio Experimental de Procesos y Materiales;64;6;6
;Optativas, Electivas y/o Actividades Académicas Afines;64;15;6
37;Trabajo Social Comunitario III;32;2;6
