Código;Asignatura;Carga Horaria;Cuatrimestre
1;Planificación estratégica;96;1
2;Introducción a la Investigación Social;96;1
3;Deporte comunitario;96;1
4;Trabajo social comunitario (anual);160;1
5;Problemas socioculturales contemporáneos;96;2
6;Estado, Sociedad y Derechos Humanos;96;2
7;Introducción a la Atención Primaria de la Salud;96;2
8;Trabajo Social Comunitario (anual);160;2
5;Políticas Públicas;96;3
6;Medios de comunicación y tecnologías de la información;96;3
7;Idioma Nivel I;64;3
8;Trabajo Social Comunitario II (anual);160;3
5;Lenguajes artísticos;96;4
6;Psicosociología de las organizaciones;96;4
8;Trabajo Social Comunitario II (anual);160;4
5;Economía Social;96;5
6;Taller de Trabajo Final;96;5
7;Idioma Nivel II;64;5
