Código;Asignatura;Carga Horaria;Área;Núcleo
42;Derecho Constitucional Profundizado;64;D. Constitucional;Gest. Púb. y Adm. de Justicia
43;Responsabilidad del Estado;32;D. Constitucional;Gest. Púb. y Adm. de Justicia
44;Derecho Parlamentario y Técnica Legislativa;64;D. Constitucional;Gest. Púb. y Adm. de Justicia
45;Gestión Municipal y Cuestiones Interjurisdiccionales;32;D. Público;Gest. Púb. y Adm. de Justicia
46;Derecho de la Seguridad Social;64;D. Público;Gest. Púb. y Adm. de Justicia
47;Contratos Administrativos;64;D. Administrativo y Tributario;Gest. Púb. y Adm. de Justicia
48;Empleo Público;32;D. Administrativo y Tributario;Gest. Púb. y Adm. de Justicia
49;Derecho Procesal Penal Profundizado y Política Criminal;64;D. Penal;Gest. Púb. y Adm. de Justicia
50;Delitos contra la Administración Pública;32;D. Penal;Gest. Púb. y Adm. de Justicia
51;Terrorismo de Estado y Delitos de Lesa Humanidad;32;D. Penal;Gest. Púb. y Adm. de Justicia
52;Función Social de la Administración de Justicia;32;Derecho, Estado y Sociedad;Gest. Púb. y Adm. de Justicia
53;Acceso a la Justicia;64;Derecho, Estado y Sociedad;Gest. Púb. y Adm. de Justicia
54;Formas Alternativas de Resolución de Conflictos;32;Derecho, Estado y Sociedad;Gest. Púb. y Adm. de Justicia
55;Gestión de la Administración Pública y Judicial;64;Derecho, Estado y Sociedad;Gest. Púb. y Adm. de Justicia
56;Formulación, Implementación y Evaluación de Políticas Públicas;64;Derecho, Estado y Sociedad;Gest. Púb. y Adm. de Justicia
57;Argumentación Jurídica;64;Teoría y Filosofía del Derecho;Gest. Púb. y Adm. de Justicia
58;Derecho de la Salud;64;;Problemáticas Actuales del Derecho
59;Derecho del Ambiente y de los Recursos Naturales;64;;Problemáticas Actuales del Derecho
60;Derecho del Consumidor y el Usuario;64;;Problemáticas Actuales del Derecho
61;Derecho de las Telecomunicaciones;64;;Problemáticas Actuales del Derecho
62;Derecho de la Integración;32;;Problemáticas Actuales del Derecho
63;Derecho Económico Internacional;32;;Problemáticas Actuales del Derecho
64;Derecho a la Privacidad;32;;Problemáticas Actuales del Derecho
65;Derecho y Género;64;;Problemáticas Actuales del Derecho
66;Derecho Aduanero;32;;Problemáticas Actuales del Derecho
