Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Introducción al Derecho;64;;1
2;Historia Constitucional Argentina y Latinoamericana I;64;;1
3;Teoría General del Estado;64;;1
4;Derecho Constitucional;64;;1
5;Informática;32;;1
6;Teoría General del Derecho;64;;2
7;Historia Constitucional Argentina y Latinoamericana II;64;;2
8;Derechos Humanos;64;;2
9;Nociones de Derecho Civil;64;;2
10;Trabajo Social Comunitario I;32;;2
11;Derecho de las Obligaciones;64;;3
12;Derecho Penal. Parte General;64;;3
13;Sociología Jurídica;64;;3
14;Administración y Políticas Públicas;64;;3
15;Inglés;32;;3
16;Derecho de los Contratos;64;;4
17;Derecho Penal. Parte Especial;64;;4
18;Derecho Administrativo;64;;4
19;Economía Política;64;;4
20;Trabajo Social Comunitario II ;32;;4
21;Filosofía del Derecho;64;;5
22;Derechos Reales ;64;;5
23;Derecho Comercial;64;;5
24;Derecho Público Provincial y Municipal;64;;5
25;Derecho Laboral y de la Seguridad Social;64;;6
26;Sociedades Comerciales;64;;6
27;Derecho Procesal Civil y Comercial;64;;6
;Optativa I;64;;6
28;Trabajo Social Comunitario III;32;;6
29;Derecho de Familia y Sucesorio;64;;7
30;Finanzas Públicas y Derecho Tributario;64;;7
31;Acto y Procedimiento Administrativo;64;;7
32;Práctica Pre-profesional I;64;;7
33;Derecho Internacional Público;64;;8
;Optativa II (Al menos una optativa deberá corresponder al núcleo de Gestión Pública y Administración de Justicia);96;;8
34;Práctica Pre-profesional II;64;;8
35;Trabajo Social Comunitario IV;32;;8
36;Metodología de la Investigación;64;;9
37;Proceso Contencioso Administrativo;64;;9
;Optativa III (Al menos una optativa deberá corresponder al núcleo de Gestión Pública y Administración de Justicia);64;;9
38;Práctica Pre-profesional III;64;;9
39;Derecho Internacional Privado;64;;10
40;Taller de Tesina;32;;10
;Optativa IV (Al menos un seminario deberá corresponder al núcleo de Gestión Pública y Administración de Justicia);96;;10
41;Práctica Pre-profesional IV;64;;10
