Código;Asignatura;Carga Horaria;Tabla
16;Periodismo Científico;64;Optativas
17;Periodismo Deportivo;64;Optativas
18;Periodismo Político;64;Optativas
19;Periodismo Internacional;64;Optativas
20;Periodismo Educativo;64;Optativas
21;Periodismo Policial y Judicial;64;Optativas
22;Periodismo de Datos;64;Optativas
23;Periodismo y Salud;64;Optativas
24;Periodismo y Literatura;64;Optativas
25;Periodismo Artístico y Cultural;64;Optativas
26;Perspectivas en investigación de Estudios Socioculturale;64;Optativas
