Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Producción y Gestión en Medios;64;5;1
2;Taller de Redacción Periodística;64;6;1
3;Teoría y Practica Narrativa I;64;5;1
4;Historia Social Argentina;64;6;1
5;Trabajo Social Comunitario I;32;2;1
6;Informática;32;2;2
7;Introducción a la Comunicación;64;6;2
8;Semiología;64;5;2
9;Radio I;64;6;2
10;Teoría y Practica Narrativa II;64;5;2
11;Estado y Sociedad;64;6;2
12;Comunicación I;64;6;3
13;Periodismo Grafico;64;6;3
14;Problemas Socioculturales Contemporáneos;64;6;3
15;Historia de la Comunicación;64;6;3
16;Trabajo Social Comunitario II;32;2;3
17;Televisión;64;6;4
18;Radio II;64;6;4
19;Informática y Periodismo Digital;64;6;4
20;Metodología de la Investigación I;64;6;4
21;Idioma I (Ingles /Portugués);32;2;4
22;Análisis Periodístico;64;5;5
23;Producción Audiovisual;64;6;5
;Optativas, Electivas y/o Actividades Académicas Afines;64;6;5
24;Práctica Profesional;64;6;5
25;Tecnologías de la Comunicación y la Información;64;5;5
26;Trabajo Social Comunitario III;32;2;5
27;Derecho de la Comunicación;64;6;6
28;Investigación Periodística;64;6;6
29;Fotoperiodismo;64;6;6
30;Idioma II (Ingles/Portugués);32;2;6
31;Metodología de la Investigación II;64;6;6
;Optativas, Electivas y/o Actividades Académicas Afines;96;9;6
32;Producción Documental;64;6;7
33;Taller de Tesina o Trabajo Final;32;3;7
;Optativas, Electivas y/o Actividades Académicas Afines;192;14;7
34;Arte y Estética;64;4;7
35;Trabajo Social Comunitario IV;32;2;7
36;Prensa y Comunicación Institucional;64;5;8
37;Analisis del Discurso;64;5;8
38;Planeamiento y Financiación de Emprendimientos Periodísticos;64;6;8
;Optativas, Electivas y/o Actividades Académicas Afines;128;12/16;8
39;Trabajo Final o Tesina *;;12/08/21;8
