Código;Asignatura;Carga Horaria;Cuatrimestre
1;Estado: Política y Economía en la Argentina del Siglo XX;96;1
2;Política y Gestión Pública;96;1
3;Lenguaje de los Medios de Comunicación;128;1
4;Trabajo Social Comunitario;96;2
5;Administración Pública;96;2
6;Estrategias de Comunicación Política;128;2
7;Historia Social y Política Latinoamericana;96;3
8;Idioma I;96;3
9;Aspectos Económicos Fiscales del Federalismo Argentino;128;3
10;Pensamiento Económico Latinoamericano;96;4
11;Políticas de Desarrollo;96;4
12;Elementos del Desarrollo Local;128;4
13;Idioma II;96;5
14;Metodología de Investigación para las Políticas Públicas;96;5
15;Taller de Medios;128;5
