Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Historia de la Cultura;64;6;1
2;Introducción a los Lenguajes Artísticos;64;6;1
3;Introducción a la Gestión Cultural;96;9;1
4;Fundamentos de Economía;64;6;1
5;Taller de Informática (*);32;2;1
6;Trabajo Social Comunitario I;32;2;1
7;Institucionalidad y Políticas Culturales;64;6;2
8;Psicosociología de las Instituciones;64;6;2
9;Teorías de la Cultura I;64;6;2
10;Semiótica;64;6;2
11;Lenguajes Artísticos I (Verbal/Literario);48;5;2
12;Idioma 1 Nivel 1 (*);32;2;2
13;Estéticas Contemporáneas;96;9;3
14;Sociología de la Cultura;64;6;3
15;Administración Cultural;64;6;3
16;Lenguajes Artísticos II (Musical);48;5;3
17;Teorías de la Cultura II;32;3;3
18;Idioma 1 Nivel 2;32;2;3
19;Patrimonio Cultural (Material e Inmaterial);64;6;4
20;Metodología de la Investigacion I (Cuantitativa);64;6;4
21;Diseño y Evaluación de Proyectos Culturales;64;6;4
22;Lenguajes Artísticos III (Visual/Del Fuego);48;4;4
23;Legislación Cultural;48;4;4
24;Trabajo Social Comunitario II;32;2;4
25;Marketing Cultural;64;6;5
26;Metodología de la Investigacion II (Cualitativa);64;6;5
27;Lenguajes Artísticos IV (Gestual y de Escena);64;6;5
28;Gestión de las Organizaciones;64;6;5
29;Idioma 2 Nivel 1;32;2;5
30;Trabajo Social Comunitario III;32;2;5
31;Financiamiento de Proyectos Culturales;48;4;6
32;Comunicación e Imagen Institucional;48;4;6
33;Lenguajes Artísticos V (Audiovisual);48;4;6
;Optativas y/o Electivas y Actividades Académicas Afines;128;19;6
34;Diseño de Proyectos de Cooperación;64;6;7
;Optativas y/o Electivas y Actividades Académicas Afines;224;20;7
35;Taller de Tesina;64;4;7
36;Trabajo Final o Tesina;96;8;8
37;Trabajo Social Comunitario IV;32;2;8
;Optativas y/o Electivas y Actividades Académicas Afines;224;20;8
