Código;Asignatura;Carga Horaria;Cuatrimestre
1;Trabajo Social Comunitario I;32;1
2;Procesos Históricos y Dinámicas Socio Políticas en América Latina I;96;1
3;Metodología de Investigación Social e Histórica;64;1
4;Teoría Económica en América Latina;64;1
5;Geografía y Cartografía Americanas;64;1
6;Procesos Históricos y Dinámicas Socio Políticas en América Latina II;96;2
7;Periodismo y Comunicaciones en América Latina;64;2
8;Pensamiento Latinoamericano de los Siglos XX y XXI;64;2
9;Ambiente, Ciencia y Tecnología en América Latina;64;2
10;Idioma I (Inglés o Portugués);64;2
11;Trabajo Social Comunitario II;32;3
12;Idioma II (Inglés o Portugués);64;3
13;Literatura y Cinematografía Latinoamericanas;64;3
14;Música y Artes Plásticas en Latinoamérica;64;3
15;Producción del Ordenamiento Jurídico Latinoamericano;64;3
16;Relaciones Internacionales, Cooperación e Integración Latinoamericanas;64;4
17;Nuevas Tecnologías Aplicadas a la Investigación y Enseñanza de la Historia;64;4
18;Didáctica de la Enseñanza de la Historia en el Nivel Superior;64;4
19;Taller de Elaboración del Trabajo Final de Grado (Tesina);64;4
