Código;Asignatura;Carga Horaria;Módulo
47;Realización de Televisión I;64;TV Digital
48;Televisión Señal Terrestre, Cable, Móvil e IPTV;64;TV Digital
49;Contenidos y Modelos Digitales;48;TV Digital
50;Economía Digital;32;TV Digital
51;Dirección de Arte y Efectos Especiales;64;TV Digital
52;Producción y Regulación de la TV Digital;64;TV Digital
53;Convergencia Digital en los Medios;32;TV Digital
54;Producción y Distribución de TV Digital;48;TV Digital
55;Dirección Regie;32;Animación
56;Stop Motion;32;Animación
57;Animación 2D;64;Animación
58;Video Arte y Cine Experimental;32;Animación
59;Mecánica del Movimiento Específica;64;Animación
60;Pixilation;32;Animación
61;Motion Graphics;32;Animación
62;Animación 3D;64;Animación
63;Edición y Tecnología Audiovisual;32;Animación
64;Experimentación Tecnológica;32;Animación
65;Realización Audiovisual Avanzada;64;Cine
66;Dirección Actoral II;64;Cine
67;Guion Avanzado;32;Cine
68;Cámara y Fotografía Específicas;32;Cine
69;Estética y Análisis del Film;32;Cine
70;Montaje y Tecnologías Específicas;32;Cine
71;Dirección de Arte y Efectos Especiales;64;Cine
72;Producción Especifica II;32;Cine
73;Diseño de Bandas Sonoras II;32;Cine
74;Estética y Análisis del Documental;32;Cine
75;Desarrollo Social y Ambiente;48;Artes Visuales
76;Historia del Arte a Cielo Abierto;48;Artes Visuales
77;Arte Procesual y Relacional;48;Artes Visuales
78;Sistemas Constructivos I;64;Artes Visuales
79;Sistemas Constructivos II;64;Artes Visuales
80;Performance, Video Danza y Teatro Acción;48;Artes Visuales
81;Video Arte y Net Art;48;Artes Visuales
82;Dispositivos de la Narrativa Audiovisual e Interactividad;48;Artes Visuales
