Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Lenguaje Audiovisual I;64;7;1
2;Matemática;64;4;1
3;Fotografía y Cámara I;64;6;1
4;Historia de las Artes Audiovisuales I;64;6;1
5;Dibujo y Sistemas de Representación;64;5;1
6;Informática (*);32;2;1
7;Lenguaje Audiovisual II;32;5;2
8;Física;64;4;2
9;Guión I;64;6;2
10;Tecnología Digital;32;3;2
11;Percepción Audiovisual;64;6;2
12;Introducción a la Economía;64;4;2
13;Trabajo Social Comunitario I;32;2;2
14;Sonido I;64;5;3
15;Fotografía y Cámara II;64;5;3
16;Historia de las Artes Audiovisuales II;64;5;3
17;Montaje I;64;6;3
18;Realización I;64;7;3
19;Inglés (*);32;2;3
20;Guión II;64;5;4
21;Sonido II;64;4;4
22;Lenguaje Musical;32;4;4
23;Realización II;64;7;4
24;Gestión y Producción I;64;4;4
25;Dirección de Arte;32;4;4
26;Trabajo Social Comunitario II;32;2;4
27;Montaje II;64;5;5
28;Estética de los Medios;32;4;5
29;Dirección Actoral;64;4;5
30;Sociología;32;4;5
31;Realización III;64;7;5
32;Gestión y Producción II;64;4;5
33;Inglés Técnico (*);32;2;5
34;Guión III;64;4;6
35;Técnicas de Investigación de Audiencias;32;4;6
36;Legislación;32;4;6
37;Metodología de la investigación;64;6;6
38;Diseño de Bandas Sonoras I;64;4;6
;Optativas y/o Electivas y Actividades Académicas Afines;64;6;6
39;Trabajo Social Comunitario III;32;2;6
40;Nuevas Tecnologías Audiovisuales;64;4;7
41;Trabajo Final 1: Proyecto de Tesis;64;4;7
;Optativas y/o Electivas y Actividades Académicas Afines;192;20;7
42;Trabajo Social Comunitario IV;32;2;7
43;Deontología y Ejercicio Profesional;64;4;8
;Optativas y/o Electivas y Actividades Académicas Afines;224;20;8
44;Trabajo Final 2: Realización y Defensa de Tesis;0;6;8
