Código;Asignatura;Carga Horaria;Cuatrimestre
1;Arte, Música e Inclusión;96;1
2;Historia de la Música;96;1
3;Análisis Musical;128;1
4;Trabajo Social Comunitario;96;2
5;Lectura, Reducción y Ampliación de Partituras;96;2
6;Técnica de Dirección Musical I;128;2
7;Organología;96;3
8;Idioma I;96;3
9;Técnica de Dirección Musical II;128;3
10;Arreglos Instrumentales y Vocales;96;4
11;Educación Musical y Colectiva;96;4
12;Técnica de Dirección Musical III;128;4
13;Idioma II;96;5
14;Música Latinoamericana y Argentina;96;5
15;Técnica de Dirección Musical IV;128;5
