Código;Asignatura;Carga Horaria;Cuatrimestre
A;Taller de Análisis y Resolución de Problemas;48;0
B;Taller de Lectura y Comprensión de Textos;48;0
1;Introducción a la Problemática Universitaria I;96;1
2;Introducción al Estudio de las Organizaciones;96;1
3;Técnicas Cuantitativas;96;1
4;Informática (*);48;1
5;Política y Legislación;96;2
6;Organizaciones Universitarias;96;2
7;Sistemas de Información;96;2
8;Trabajo Social Comunitario I;32;2
9;Introducción a la Problemática Universitaria II;96;3
10;Estructuras, Organización y Control Interno;96;3
11;Administración Universitaria;96;3
12;Trabajo Social Comunitario II;32;3
13;Preparación y Evaluación de Proyectos;64;4
14;Gestión Universitaria;96;4
15;Información Aplicada a la Gestión Universitaria;96;4
16;Inglés (*);48;4
17;Portugués;32;4
18;Trabajo de Integración Final (**);200;4
