Código;Asignatura;Carga Horaria;Cuatrimestre
1;Psicosociología de las organizaciones y gestión de RR.HH;96;1
2;Planificación estratégica;64;1
3;Economía aplicada ;64;1
4;Seminario Optativo I;64;1
5;Trabajo Social Comunitario I ;32;1
6;Idioma I;32;1
7;Gestión de las instalaciones y el equipamiento deportivo;64;2
8;Métodos y técnicas de investigación;96;2
9;Marketing deportivo;64;2
10;Seminario Optativo II;64;2
11;Trabajo Social Comunitario II;32;2
12;Informática aplicada a la gestión;64;3
13;Gestión de la seguridad en eventos deportivos;64;3
14;Taller de elaboración del Trabajo Final de Grado (Tesina);96;3
15;Trabajo de campo (anual);96;3
16;Trabajo Social Comunitario III;32;3
17;Idioma II;32;3
18;Trabajo de campo (anual);96;4
