Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Anatomía Funcional y Biomecánica de la Motricidad Humana;96;;1
2;Desarrollo Motor;64;;1
3;Historia de la Actividad Física y del Deporte;64;;1
4;Fundamentos y Enseñanza de los Deportes;96;;1
5;Trabajo Social Comunitario I ;32;;1
6;Fisiología de la Motricidad Humana;96;;2
7;Principios del Entrenamiento Deportivo;64;;2
8;Psicología de la Actividad Física y el Deporte;96;;2
9;Práctica Deportiva I (Básquetbol, Fútbol o Handball);96;;2
10;Rendimiento Deportivo;64;;3
11;Antropología y Sociología de la Actividad Física y el Deporte;96;;3
12;Actividad Física, Salud y Calidad de Vida;64;;3
13;Práctica Deportiva II (Misma elección que en nivel I);96;;3
14;Trabajo Social Comunitario II;32;;3
15;Evaluación de la Condición Física;64;;4
16;Alimentación y Nutrición para el Deporte;64;;4
17;Epistemología de la Motricidad Humana;96;;4
18;Introducción a la Gestión de Organizaciones Deportivas;96;;4
19;Introducción a la ;64;;5
20;Ética Profesional;32;;5
21;Legislación Relativa a la Actividad Física y el Deporte;64;;5
22;Manejo de Emergencias y RCP;32;;5
23;Trabajo Social Comunitario III;32;;5
24;Nivel de Informática I;32;;5
25;Nivel de Idioma Inglés I;32;;5
26;Psicosociología de las Organizaciones y Gestión de RR.HH;96;;6
27;Planificación Estratégica;64;;6
28;Economía Aplicada;64;;6
29;Dinámica de grupos y Procesos Motivacionales;64;;6
30;Nivel de Idioma Inglés II;32;;6
31;Gestión de las Instalaciones el Equipamiento Deportivo;64;;7
32;Métodos y Técnicas de Investigación;96;;7
33;Marketing Deportivo;64;;7
34;Organización de Eventos Deportivos;64;;7
35;Trabajo de Campo;192;;7
36;Informática Aplicada a la Gestión;64;;8
37;Gestión de la Seguridad en Eventos Deportivos;64;;8
38;Taller de Elaboración del Trabajo Final de Grado (Tesina);32;;8
