Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Biología Humana I;48;4;1
2;Cuidados de la Salud Centrados en la Comunidad I;48;4;1
3;Salud Pública I;32;3;1
4;Condiciones y Medio Ambiente de Trabajo;32;3;1
5;Práctica Profesionalizante;128;11;1
6;Trabajo Social Comunitario I;32;2;1
7;Informática;32;2;2
8;Biología Humana II;48;4;2
9;Nutrición;48;4;2
10;Fundamentos del Cuidado;64;6;2
11;Práctica Profesionalizante II;128;11;2
12;Aspectos Éticos y Legales;48;4;3
13;Enfermería Materno Infantil I;48;4;3
14;Salud Pública II ;48;4;3
15;Práctica Profesionalizante III;160;13;3
16;Idioma I;32;2;3
17;Trabajo Social Comunitario II;32;2;3
18;Enfermería del Adulto y Adulto Mayor I ;48;4;4
19;Psicosociología de las Instituciones;48;4;4
20;Cuidados de la Salud Centrados en de la Comunidad;48;4;4
21;Farmacología en Enfermería;64;6;4
22;Práctica Profesionalizante IV;160;14;4
23;Enfermería Comunitaria;64;6;5
24;Enfermería en Salud Mental;48;4;5
25;Enfermería Materno Infantil II;48;4;5
26;Comunicación y Relaciones Humanas;48;4;5
27;Práctica Profesionalizante V;160;14;5
28;Trabajo Social Comunitario III;32;2;6
29;Organización y Gestión Servicios Enfermería;48;4;6
30;Enfermería Cuidados Críticos;64;6;6
31;Enfermería del Adulto y Adulto Mayor II ;48;4;6
32;Enfermería de Emergencia y Catástrofes;48;4;6
33;Práctica Profesionalizante VI;160;13;6
34;Metodología de Investigación;64;4;7
35;Epidemiología;48;3;7
;Optativas y/o Electivas y Actividades Académicas Afines;192;18;7
36;Trabajo Social Comunitario IV;32;2;8
37;Educación en Enfermería;48;3;8
38;Taller de Trabajo Final;48;4;8
;Optativas y/o Electivas y Actividades Académicas Afines;208;18;8
39;Trabajo Final o Tesina;200;8;8
