Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Sistemas Estomatognático;96;9;1
2;Biofísica;32;3;1
3;Materiales dentales I;32;3;1
4;Química Aplicada;32;3;1
5;Informática I;32;2;1
6;Trabajo Social Comunitario I;32;2;1
7;Deontología y ejercicio Profesional ;32;3;2
8;Diseño y Morfología Dentaria;32;3;2
9;Oclusión I;64;6;2
10;Prótesis Fija I;64;6;2
11;Informática II;32;2;2
12;Inglés I;32;2;2
13;Oclusión II;96;9;3
14;Prótesis Fija II;64;6;3
15;Materiales Dentales II;32;3;3
16;Prótesis Parcial Removible por Colado I;64;6;3
17;Inglés II;32;2;3
18;Trabajo Social Comunitario II;32;2;3
19;Prótesis Fija III- Orgánico;96;9;4
20;Prótesis Parcial Removible por Colado II;64;6;4
21;Prótesis Total Removible I ;64;6;4
22;Práctica Pre-profesionales I;32;3;4
23;Taller de Investigación;32;6;4
24;Materiales Dentales III;32;3;4
25;Seguridad e Higiene;32;3;4
26;Prótesis Fija IV- Inorgánica;96;9;5
27;Prótesis Parcial Removible de Resinas Acrílicas I;32;3;5
28;Ortodoncia y Ortopedia I;64;6;5
29;Prótesis Total Removible II;64;6;5
30;Práctica Pre-profesionales II;64;6;5
31;Trabajo Social Comunitario III;32;3;5
32;Prótesis Parcial Removible de Resinas Acrílicas II;64;6;6
33;Ortodoncia y Ortopedia II;64;6;6
34;Prótesis Combinada;64;6;6
35;Administración contable del Laboratorio;32;3;6
36;Práctica Pre-profesionales III ;64;9;6
37;Optativas;96;9;6
