Código;Asignatura;Carga Horaria;Créditos;Cuatrimestre
1;Introducción a la Economía Política;64;6;1
2;Análisis Matemático I;64;6;1
3;Principios de Contabilidad;64;5;1
4;Economía y Sociedad;32;3;1
5;Economía Mundial;64;5;1
6;Historia del Pensamiento Económico;64;6;2
7;Estadística I;64;6;2
8;Estructura Impositiva Argentina;64;5;2
9;Microeconomía I;64;6;2
10;Trabajo Social Comunitario I;32;2;2
11;Historia Social y Económica Argentina I;64;5;3
12;Macroeconomía I;64;6;3
13;Análisis Matemático II;64;6;3
14;Finanzas Publicas;64;6;3
15;Ingles I;32;2;3
16;Historia Social y Económica Argentina II;64;5;4
17;Macroeconomía II;64;6;4
18;Estadística II;64;6;4
19;Trabajo Social Comunitario II;32;2;4
20;Microeconomía II ;64;6;5
21;Matemática Aplicada;64;5;5
22;Mercado de Capitales;64;6;5
23;Dinero, Crédito y Bancos;64;6;5
24;Informática;32;2;5
25;Cálculo Financiero;64;6;6
26;Estructura Social Argentina;64;5;6
27;Econometría;64;6;6
28;Cuentas Nacionales;64;5;6
29;Trabajo Social Comunitario III;32;2;6
30;Geografía Económica;64;5;7
31;Estructura Económica Argentina;64;6;7
32;Análisis de Proyectos de Inversión;64;6;7
33;Teorías del Desarrollo Económico;64;6;7
34;Practica Pre Profesional;64;6;8
;Optativas, Electivas y/o actividades académicas afines;192;18;8
35;Trabajo Social Comunitario IV;32;2;8
;Optativas, Electivas y/o actividades académicas afines;192;18;9
36;Taller de Tesis;64;4;9
;Optativas y/o Electivas y Actividades Académicas Afines;256;20;10
37;Trabajo Final o Tesina;256;6;10
