Código;Asignatura;Carga Horaria;Cuatrimestre;Tabla
27;Investigación Operativa;96;7;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
28;Ingeniería de Software;128;7;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
29;Economía y Organización Empresarial;96;7;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
30;Seguridad de los Sistemas Informáticos;96;7;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
31;Simulación y Modelización;96;8;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
32;Empresas y Sistemas;64;8;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
33;Calidad del Software;96;8;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
34;Diseño de Sistemas;96;8;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
73;Trabajo Social Comunitario IV;32;8;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
35;Sistemas de Gestión de Base de Datos;64;9;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
36;Gestión de los Recursos Humanos;64;9;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
37;Gestión Ambiental ;32;9;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
38;Logística;64;9;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
60;Electiva;64;9;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
39;Legislación y Ejercicio Profesional;32;10;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
40;Administración Empresaria;64;10;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
74;Trabajo Social Comunitario V;32;10;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
80;Práctica Profesional Supervisada;200;Formación Profesional;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
90;Tesis de Grado de Ingeniería en Informática;384;Formación Profesional;ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
96;Didáctica del Nivel Superior;;Módulo Didáctico (Opcional);ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
97;Enseñanza, Currículo y Evaluación en Ingeniería;96;Módulo Didáctico (Opcional);ORIENTACION EN SISTEMAS DE INFORMACION Y GESTION EMPRESARIAL (SIGE)
27;Investigación Operativa;96;7;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
28;Ingeniería de Software;128;7;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
29;Economía y Organización Empresarial;96;7;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
41;Teoría y Elaboración de Señales;96;7;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
30;Seguridad de los Sistemas Informáticos;96;8;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
31;Simulación y Modelización;96;8;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
42;Tecnología y Servicio de Redes;96;8;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
43;Metodología de Identificación y Control;64;8;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
73;Trabajo Social Comunitario IV;32;8;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
44;Arquitectura del Software para la Automatización;96;9;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
45;Inteligencia Artificial;96;9;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
37;Gestión Ambiental;32;9;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
60;Electiva;64;9;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
39;Legislación y Ejercicio Profesional;32;10;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
46;Automatización y Planificación de los Sistemas de Producción;64;10;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
74;Trabajo Social Comunitario V;32;10;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
80;Práctica Profesional Supervisada;200;Formación Profesional;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
90;Tesis de Grado de Ingeniería en Informática;384;Formación Profesional;ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
96;Didáctica del Nivel Superior;;Módulo Didáctico (Opcional);ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
97;Enseñanza, Currículo y Evaluación en Ingeniería;96;Módulo Didáctico (Opcional);ORIENTACION EN PRODUCCION Y AUTOMATIZACION INDUSTRIAL (PAI)
27;Investigación Operativa;96;7;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
28;Ingeniería de Software;129;7;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
29;Economía y Organización Empresarial;96;7;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
41;Teoría y Elaboración de Señales;96;7;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
30;Seguridad de los Sistemas Informáticos;96;8;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
31;Simulación y Modelización;96;8;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
42;Tecnología y Servicio de Redes;96;8;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
47;Programación Distribuida I;96;8;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
73;Trabajo Social Comunitario IV;32;8;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
48;Protocolos y Arquitectura de Ruteo;96;9;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
49;Programación Distribuida II;64;9;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
37;Gestión Ambiental;32;9;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
60;Electiva;64;9;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
39;Legislación y Ejercicio Profesional;32;10;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
50;Elaboración y Transmisión de Información Multimedial;64;10;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
74;Trabajo Social Comunitario V;32;10;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
80;Práctica Profesional Supervisada;200;Formación Profesional;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
90;Tesis de Grado de Ingeniería en Informática;384;Formación Profesional;ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
96;Didáctica del Nivel Superior;;Módulo Didáctico (Opcional);ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
97;Enseñanza, Currículo y Evaluación en Ingeniería;96;Módulo Didáctico (Opcional);ORIENTACION EN SISTEMAS DISTRIBUIDOS (SD)
601;Lenguajes y Traductores;64;SIGE-PAI-SD;9
602;Aplicaciones en Internet;64;SIGE-PAI-SD;9
603;Proyecto de Redes Locales;64;SIGE-PAI-SD;9
604;Programación de Videojuegos;64;SIGE-PAI-SD;9
605;Animación por Computadora;64;SIGE-PAI-SD;9
606;Documentos Electrónicos ;64;SIGE-PAI-SD;9
607;Industria de Contenidos Digitales;64;SIGE-PAI-SD;9
608;Gestión del Conocimiento;64;SIGE;9
609;Inteligencia Artificial A;64;SIGE-SD;9
610;Programación Distribuida A;64;SIGE-PAI;9
611;Negocios Electrónicos;64;SIGE;9
612;Redes Inalámbricas;64;PAI-SD;9
613;Elaboración de Audio Digital;64;PAI-SD;9
614;Codificación de Video;64;PAI-SD;9
615;Técnicas de Gráficos por Computadoras;64;PAI-SD;9
616;Diseño y Fabricación Integrada;64;PAI;9
617;Sistemas Automáticos de Detección y Diagnóstico;64;PAI;9
618;Sistemas de Soporte para Celdas de Producción;64;PAI;9
619;Programación de Propósito General en GPU;64;SD;9
