Código;Asignatura;Carga Horaria;Cuatrimestre
1;Teoría organizacional;96;1
2;Contabilidad;128;1
3;Trabajo Social Comunitario I;64;1
4;Economía;96;2
5;Principios de administración;96;2
6;Idioma I;64;2
7;Derecho laboral;96;3
8;Sistemas de información;96;3
9;Marketing o Comercialización;96;3
10;Trabajo Social Comunitario II;64;3
11;Estadística;96;4
12;Gestión de la producción;96;4
13;Informática I;64;4
14;Costos;96;5
15;Idioma II;64;5
16;Administración de Personal;96;5
17;Trabajo Social Comunitario III;64;5
18;Logística y Distribución;96;6
19;Derecho empresarial;96;6
20;Informática II;64;6
21;Introducción a la investigación;96;6
22;Contabilidad Gerencial;96;7
23;Gestión Financiera y Proyectos de Inversión;96;7
24;Trabajo Social Comunitario IV;64;7
25;Metodología de la Investigación;96;7
26;Impuestos;128;8
27;Teoría de la Decisión;96;8
28;Política económica;96;8
29;Gestión de Pymes y empresas familiares;96;8
30;Taller de Trabajo en Territorio;32;8
