Código;Asignatura;Carga Horaria;Cuatrimestre
1;Física General;96;1
2;Electrotecnia;96;1
3;Mecánica;96;1
4;Sociología Laboral;64;1
5;Química Tecnológica;96;2
6;Organización Industrial;64;2
7;Trabajo Social Comunitario I;64;2
8;Seguridad (Equipos, máquinas y herramientas, sólidos, líquidos, vapores y gases - Incendios);96;2
9;Sistemas de Representación;64;3
10;Conocimiento de los Materiales;96;3
11;Trabajo Social Comunitario II;64;3
12;Estadísticas y Costos;64;3
13;Neumática e Hidráulica;96;4
14;Mantenimiento Industrial del Sector Automotriz;96;4
15;Elementos de Máquina;96;4
16;Idioma Nivel I;64;4
17;Elementos de Automatización;96;5
18;Tecnología de Frío y Calor;96;5
19;Instalaciones y Máquinas Eléctricas;96;5
20;Idioma Nivel II;64;5
