Código;Asignatura;Carga Horaria;Cuatrimestre
1;Organización Industrial;96;1
2;Medicina Laboral y Enfermedades Profesionales;96;1
3;Seguridad I (Organización Interna de los Procesos de Seguridad - Edificios e Instalaciones - Instalaciones Eléctricas - Elementos de Protección);128;1
4;Trabajo Social Comunitario;96;2
5;Sociología Laboral;96;2
6;Química Tecnológica;128;2
7;Idioma I;96;3
8;Física General;96;3
9;Seguridad II (Equipos, Máquinas y Herramientas, Sólidos, Líquidos, Vapores y Gases - Incendios);128;3
10;Derecho del Trabajo;96;4
11;Ergonomía;96;4
12;Ambiente de Trabajo (Ruidos - Iluminación y Color - Ventilación - Radiación);128;4
13;Idioma II;96;5
14;Contaminación y Gestión Ambiental;96;5
15;Teorías Pedagógicas y Estrategias Didácticas;64;5
16;Estadísticas y Costos;64;5
